instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,OptionType
9527,ALKALI,Alkali Metals Ltd,79.3,0,0,0.050000,1,EQ,CASH,NSE,INE773I01017,1,16959,-
13482,ALKEM,Alkem Laboratories Ltd,3620.7,0,0,0.050000,1,EQ,CASH,NSE,INE540L01014,1,11703,-
750,ALKYLAMINE,Alkyl Amines Chemicals Ltd,2858.55,0,0,0.050000,1,EQ,CASH,NSE,INE150B01039,1,4487,-
8144,ALLCARGO,Allcargo Logistics Ltd,358.4,0,0,0.050000,1,EQ,CASH,NSE,INE418H01029,1,13501,-
8884,ADSL,Allied Digital Services Ltd,114.55,0,0,0.050000,1,EQ,CASH,NSE,INE102I01027,1,14813,-
4309,ALLSEC,Allsec Technologies Ltd,521.8,0,0,0.050000,1,EQ,CASH,NSE,INE835G01018,1,11798,-
6127,ALMONDZ,Almondz Global Securities Ltd,98.2,0,0,0.050000,1,EQ,CASH,NSE,INE326B01027,1,16719,-
417,ALOKINDS,Alok Industries Ltd,25.35,0,0,0.050000,1,EQ,CASH,NSE,INE270A01029,1,17675,-
8898,ALPA,Alpa Laboratories Ltd,69.7,0,0,0.050000,1,EQ,CASH,NSE,INE385I01010,1,14848,-
5550,ALPHAGEO,Alphageo (India) Ltd,309.55,0,0,0.050000,1,EQ,CASH,NSE,INE137C01018,1,14597,-
315,ALPSINDUS,Alps Industries Ltd,3.3,0,0,0.050000,1,EQ,CASH,NSE,INE093B01015,1,4060,-
755,AMARAJABAT,Amara Raja Batteries Ltd,536.4,0,0,0.050000,1,EQ,CASH,NSE,INE885A01032,1,100,-
88290,AMBER,Amber Enterprises India Ltd,3523.25,0,0,0.050000,1,EQ,CASH,NSE,INE371P01015,1,1185,-
4085,AMBICAAGAR,Ambica Agarbathies Aroma & Industries Ltd,26.45,0,0,0.050000,1,EQ,CASH,NSE,INE792B01012,1,11496,-
6432,AMBIKCO,Ambika Cotton Mills Ltd,2356.3,0,0,0.050000,1,EQ,CASH,NSE,INE540G01014,1,15234,-
1230,AMBUJACEM,Ambuja Cements Ltd,299.25,0,0,0.050000,1,EQ,CASH,NSE,INE079A01024,1,1270,-
8692,AMDIND,AMD Industries Ltd,45.85,0,0,0.050000,1,EQ,CASH,NSE,INE005I01014,1,14398,-
34570,AMIORG,Ami Organics Ltd,1002.25,0,0,0.050000,1,EQ,CASH,NSE,INE00FF01017,1,5578,-
609,AMJLAND,AMJ Land Holdings Ltd,30.9,0,0,0.050000,1,EQ,CASH,NSE,INE606A01024,1,2598,-
6678,AMRUTANJAN,Amrutanjan Health Care Ltd,794.6,0,0,0.050000,1,EQ,CASH,NSE,INE098F01031,1,17547,-
13234,ANANDRATHI,Anand Rathi Wealth Ltd,606.3,0,0,0.050000,1,EQ,CASH,NSE,INE463V01026,1,7145,-
5006,ANANTRAJ,Anant Raj Ltd,65.9,0,0,0.050000,1,EQ,CASH,NSE,INE242C01024,1,13620,-
7142,ANDHRACEMT,Andhra Cements Ltd,14.65,0,0,0.050000,1,EQ,CASH,NSE,INE666E01012,1,20419,-
777,ANDHRAPAP,Andhra Paper Ltd,294.7,0,0,0.050000,1,EQ,CASH,NSE,INE435A01028,1,166,-
248,ANDHRSUGAR,Andhra Sugars Ltd,152.9,0,0,0.050000,1,EQ,CASH,NSE,INE715B01021,1,136,-
31499,ANDREWYU,Andrew Yule & Company Ltd,20.2,0,0,0.050000,1,EQ,CASH,NSE,INE449C01025,1,5206,-
12962,ANGELONE,Angel One Ltd,1536.75,0,0,0.050000,1,EQ,CASH,NSE,INE732I01013,1,324,-
1619,ANIKINDS,Anik Industries Ltd,28.65,0,0,0.050000,1,EQ,CASH,NSE,INE087B01017,1,16657,-
83221,APCL,Anjani Portland Cement Ltd,233.35,0,0,0.050000,1,EQ,CASH,NSE,INE071F01012,1,20453,-
8861,ANKITMETAL,Ankit Metal & Power Ltd,8.95,0,0,0.050000,1,EQ,CASH,NSE,INE106I01010,1,29430,-
15050,ANMOL,Anmol India Ltd,200.45,0,0,0.050000,1,EQ,CASH,NSE,INE02AR01019,1,3727,-
698,ANSALHSG,Ansal Housing Ltd,6.95,0,0,0.050000,1,EQ,CASH,NSE,INE880B01015,1,13673,-
767,ANSALAPI,Ansal Properties & Infrastructure Ltd,13.35,0,0,0.050000,1,EQ,CASH,NSE,INE436A01026,1,148,-
24709,AWHCL,Antony Waste Handling Cell Ltd,260.1,0,0,0.050000,1,EQ,CASH,NSE,INE01BK01022,1,1797,-
11968,ANURAS,Anupam Rasayan India Ltd,824.45,0,0,0.050000,1,EQ,CASH,NSE,INE930P01018,1,2829,-
4082,APARINDS,Apar Industries Ltd,649.25,0,0,0.050000,1,EQ,CASH,NSE,INE372A01015,1,11491,-
773,APCOTEXIND,Apcotex Industries Ltd,358.9,0,0,0.050000,1,EQ,CASH,NSE,INE116A01032,1,154,-
87434,APEX,Apex Frozen Foods Ltd,278.6,0,0,0.050000,1,EQ,CASH,NSE,INE346W01013,1,21623,-
8355,APLAPOLLO,APL Apollo Tubes Ltd,914.6,0,0,0.050000,1,EQ,CASH,NSE,INE702C01027,1,25780,-
775,APOLLOHOSP,Apollo Hospitals Enterprise Ltd,4516.1,0,0,0.050000,1,EQ,CASH,NSE,INE437A01024,1,157,-
19535,APOLLO,Apollo Micro Systems Ltd,118.6,0,0,0.050000,1,EQ,CASH,NSE,INE713T01010,1,1134,-
107326,APOLLOPIPES,Apollo Pipes Ltd,485,0,0,0.050000,1,EQ,CASH,NSE,INE126J01016,1,14361,-
50654,APOLSINHOT,Apollo Sindoori Hotels Ltd,818.05,0,0,0.050000,1,EQ,CASH,NSE,INE451F01024,1,6302,-
421,APOLLOTYRE,Apollo Tyres Ltd,191,0,0,0.050000,1,EQ,CASH,NSE,INE438A01022,1,163,-
3900,APTECHT,Aptech Ltd,340.45,0,0,0.050000,1,EQ,CASH,NSE,INE266F01018,1,10755,-
12824,APTUS,Aptus Value Housing Finance India Ltd,340.55,0,0,0.050000,1,EQ,CASH,NSE,INE852O01025,1,5435,-
9410,ARCHIDPLY,Archidply Industries Ltd,38.9,0,0,0.050000,1,EQ,CASH,NSE,INE877I01016,1,16795,-
705,ARCHIES,Archies Ltd,17.75,0,0,0.050000,1,EQ,CASH,NSE,INE731A01020,1,5688,-
9197,ARIES,Aries Agro Ltd,136.4,0,0,0.050000,1,EQ,CASH,NSE,INE298I01015,1,15204,-
28675,ARIHCAPM,Arihant Capital Markets Ltd,396.9,0,0,0.050000,1,EQ,CASH,NSE,INE420B01028,1,3813,-
34860,ASL,Arihant Superstructures Ltd,131.25,0,0,0.050000,1,EQ,CASH,NSE,INE643K01018,1,20159,-
